正規化後罪名(去未遂),次數,疑似雜訊,原始寫法範例(最多3個)
（起訴書所犯法條欄誤載為第2款）之以不正方法由收費設備得利罪,1,,（起訴書所犯法條欄誤載為第2款）之以不正方法由收費設備得利罪
原判決附表一編號2、3「主文」欄所示之罪,1,是,原判決附表一編號2、3「主文」欄所示之罪
如附表一編號1至4所示之肆罪,1,是,如附表一編號1至4所示之肆罪
竊錄非公開談話罪,1,,竊錄非公開談話罪
行傷害罪,1,,行傷害罪
本件傷害罪,1,,本件傷害罪
中段之發還股款罪,1,,中段之發還股款罪
、第四十一條之公務員假借職務上之機會非於法定職務必要範圍內蒐集及利用個人資料罪,1,,個人資料保護法第四十四條、第四十一條之公務員假借職務上之機會非於法定職務必要範圍內蒐集及利用個人資料罪
散布侵害著作財產權之光碟罪,1,,前段之散布侵害著作財產權之光碟罪
散布侵害著作財產權之重製光碟罪,1,,著作權法第九十一條之一第三項前段之散布侵害著作財產權之重製光碟罪
如附表五編號1至14主文欄所示之拾肆罪,1,是,如附表五編號1至14主文欄所示之拾肆罪
供自己施用犯意圖製造毒品之用而栽種大麻罪,1,,供自己施用犯意圖製造毒品之用而栽種大麻罪
意圖製造毒品之用而栽種大麻罪,1,,意圖製造毒品之用而栽種大麻罪
規定之特定犯罪,1,,規定之特定犯罪
意圖販賣而持有第三、四級毒品而混合二種以上之毒品罪,1,,意圖販賣而持有第三、四級毒品而混合二種以上之毒品罪
財務報表虛偽記載罪,1,,填製不實會計憑證罪及證券交易法第174條第1項第5款財務報表虛偽記載罪
如附表一、二「罪,1,是,如附表一、二「罪
實行跟蹤騷擾罪,1,,實行跟蹤騷擾罪
以不正指令輸入電腦相關設備製作財產權得喪紀錄得利罪,1,,以不正指令輸入電腦相關設備製作財產權得喪紀錄得利罪
非法以電腦相關設備製作不實財產得喪紀錄取財罪,1,,非法以電腦相關設備製作不實財產得喪紀錄取財罪
非法以電腦相關設備製作不實財產得喪紀錄得利罪,1,,非法以電腦相關設備製作不實財產得喪紀錄得利罪
強姦罪,1,,強姦罪
以強暴妨害公務執行罪,1,,以強暴妨害公務執行罪
以脅迫妨害公務執行罪,1,,以脅迫妨害公務執行罪
雖同為施用第一級毒品犯行之相同罪,1,,雖同為施用第一級毒品犯行之相同罪
該罪罪,1,,該罪罪
人在犯罪,1,,人在犯罪
罪權限之機關或人員確知其人犯罪,1,是,罪權限之機關或人員確知其人犯罪
罪之動機、目的、手段、犯罪,1,是,罪之動機、目的、手段、犯罪
駕駛動力交通工具而有其他情事足認服用酒類致不能安全駕駛罪,1,,駕駛動力交通工具而有其他情事足認服用酒類致不能安全駕駛罪
、第2項之非法由收費設備得利罪,1,,刑法第339條之1第1項、第2項之非法由收費設備得利罪
行所為確有犯罪,1,,行所為確有犯罪
未領有駕駛執照駕車而過失致人受傷罪,1,,未領有駕駛執照駕車而過失致人受傷罪
、修正後道路交通管理處罰條例第86條第1項第1款之未領有駕駛執照駕車因過失致人受傷罪,1,,刑法第284條前段、修正後道路交通管理處罰條例第86條第1項第1款之未領有駕駛執照駕車因過失致人受傷罪
同條第5項之持有第三級毒品純質淨重5公克以上罪,1,,持有第二級毒品罪及同條第5項之持有第三級毒品純質淨重5公克以上罪
毀損國幣罪,1,,毀損他人物品罪及妨害國幣懲治條例第5條之毀損國幣罪
規定論罪,1,,規定論罪
非法經營期貨經理及其他期貨服務事業罪,1,,期貨交易法第一百十二條第五項第五款之非法經營期貨經理及其他期貨服務事業罪
而以一罪,1,,而以一罪
如附表一編號1至2、附表二編號1至13所示各罪,1,是,如附表一編號1至2、附表二編號1至13所示各罪
非法由自動付款設備取得他人財產罪,1,,非法由自動付款設備取得他人財產罪
如附表一「所犯罪,1,是,如附表一「所犯罪
二人以上共同攜帶兇器強制猥褻罪,1,,二人以上共同攜帶兇器強制猥褻罪
如附表「所犯罪,1,是,如附表「所犯罪
不實會計事項罪,1,,不實會計事項罪
任意棄置有害事業廢棄物罪,1,,任意棄置有害事業廢棄物罪
廢棄物清理法第四十六條第一款之任意棄置有害事業廢棄物罪,1,,廢棄物清理法第四十六條第一款之任意棄置有害事業廢棄物罪
納稅義務人以不正方法逃漏稅捐罪,1,,幫助納稅義務人以不正方法逃漏稅捐罪
為行銷目的而於同一或類似商品使用近似於註冊商標之商標罪,1,,為行銷目的而於同一或類似商品使用近似於註冊商標之商標罪
罪事實之理由與依據：上開犯罪,1,是,罪事實之理由與依據：上開犯罪
而為包括之一罪,1,,而為包括之一罪
收受對價提供金融帳戶罪,1,,收受對價提供金融帳戶罪
罪防制條例所定之犯罪,1,是,罪防制條例所定之犯罪
加重詐欺及洗錢罪,1,,加重詐欺及洗錢罪
之包括一罪,1,,之包括一罪
附表一編號2即本件首次所犯之三人以上共同詐欺罪,1,是,附表一編號2即本件首次所犯之三人以上共同詐欺罪
罪組織、洗錢罪,1,是,罪組織、洗錢罪
轉藥禁藥罪,1,,轉藥禁藥罪
罪獲取之財物達新臺幣壹億元以上之罪,1,是,罪獲取之財物達新臺幣壹億元以上之罪
駕駛動力交通工具而有吐氣所含酒精濃度達每公升0.25毫克以上情形之公共危險罪,1,,駕駛動力交通工具而有吐氣所含酒精濃度達每公升0.25毫克以上情形之公共危險罪
交付賄賂使其為特定被連署人連署罪,1,,交付賄賂使其為特定被連署人連署罪
無故以照相竊錄他人非公開活動罪,1,,無故以照相竊錄他人非公開活動罪
毀壞門竊盜罪,1,,毀壞門竊盜罪
詐欺取財犯罪,1,,刑法第339條詐欺取財犯罪
罪人為前置犯罪,1,是,罪人為前置犯罪
罪人作為取得犯罪,1,是,罪人作為取得犯罪
罪所得之蹤跡與後續犯罪,1,是,罪所得之蹤跡與後續犯罪
罪事實一之（二）部分未引用洗錢罪,1,是,罪事實一之（二）部分未引用洗錢罪
罪事實一之（二）被告對告訴人陳弈妘犯以網際網路對公眾散布之詐欺取財罪,1,是,罪事實一之（二）被告對告訴人陳弈妘犯以網際網路對公眾散布之詐欺取財罪
本件有期徒刑以上之2罪,1,,本件有期徒刑以上之2罪
行雖與前案同為加重詐欺取財罪,1,,行雖與前案同為加重詐欺取財罪
肇事逃逸犯行部分之罪,1,,肇事逃逸犯行部分之罪
規定犯罪,1,,罪事實一之（二）告訴人陳弈妘部分）：（1）按刑法第59條規定犯罪
罪事實一之（二）部分涉犯洗錢罪,1,是,罪事實一之（二）部分涉犯洗錢罪
借用他人名義投標罪,1,,政府採購法第八十七條第五項前段之借用他人名義投標罪
剝奪行動自由罪,1,,剝奪行動自由罪
填載不實會計憑證暨不實事項記入帳冊罪,1,,填載不實會計憑證暨不實事項記入帳冊罪
罪事實欄一第3行、犯罪,1,是,罪事實欄一第3行、犯罪
規定加重之說明：查被告前犯因不能安全駕駛致交通危險罪,1,,規定加重之說明：查被告前犯因不能安全駕駛致交通危險罪
刑法第321第1項第1款之侵入住宅竊盜罪,1,,刑法第321第1項第1款之侵入住宅竊盜罪
之一行為而論以一罪,1,,之一行為而論以一罪
如附表一編號1、附表二編號1至9所示各罪,1,是,如附表一編號1、附表二編號1至9所示各罪
罪類型、法益種類均相同之施用第二級毒品罪,1,是,罪類型、法益種類均相同之施用第二級毒品罪
第10條第2項施用第二級毒品罪,1,,施用第一級毒品罪及第10條第2項施用第二級毒品罪
冒用身分而使用他人交付之國民身分證罪,1,,後段之冒用身分而使用他人交付之國民身分證罪
毀壞安全設備侵入住宅竊盜罪,1,,毀壞安全設備侵入住宅竊盜罪
收受對價而犯提供銀行帳戶與他人使用罪,1,,幫助洗錢罪及洗錢防制法第15條之2第3項第1款之收受對價而犯提供銀行帳戶與他人使用罪
運輸第二級毒品既遂罪,1,,運輸第二級毒品既遂罪
第14條第1項之幫助一般洗錢罪,1,,前段之第14條第1項之幫助一般洗錢罪
、第2項之詐欺得取財、詐欺得利罪,1,,刑法第339條第1項、第2項之詐欺得取財、詐欺得利罪
行為數罪,1,,行為數罪
：被告就附表編號3、4部分犯行（即起訴書附表編號3、4部分）均以一行為同時犯刑法第210條、第216條行使偽造私文書及同法第339條第2項之詐欺得利罪,1,是,：被告就附表編號3、4部分犯行（即起訴書附表編號3、4部分）均以一行為同時犯刑法第210條、第216條行使偽造私文書及同法第339條第2項之詐欺得利罪
之規定從一重之行使偽造私文書罪,1,,之規定從一重之行使偽造私文書罪
如附表編號1之竊盜罪,1,是,如附表編號1之竊盜罪
本件有期徒刑以上之各罪,1,,本件有期徒刑以上之各罪
所犯加重竊盜罪,1,,所犯加重竊盜罪
如附表所示之數罪,1,是,如附表所示之數罪
汽車駕駛人行近行人穿越道不依規定讓行人優先通行致過失重傷害罪,1,,汽車駕駛人行近行人穿越道不依規定讓行人優先通行致過失重傷害罪
罪事實：1、第1至3行：甲○○、丙○○均基於參與犯罪,1,是,罪事實：1、第1至3行：甲○○、丙○○均基於參與犯罪
行所犯法條部分均未引用組織犯罪,1,,行所犯法條部分均未引用組織犯罪
罪與前揭論罪,1,是,罪與前揭論罪
、第2款之侵入住宅、毀越安全設備竊盜罪,1,,罪事實一之㈠部分所為分別係犯刑法第321條第1項第1款、第2款之侵入住宅、毀越安全設備竊盜罪
、第210條、第216條之行使偽造準私文書罪,1,,法條欄雖未引用刑法第220條第2項、第210條、第216條之行使偽造準私文書罪
、第2款之侵入住宅毀越安全設備竊盜罪,1,,罪事實一之㈠分別所犯刑法第321條第1項第1款、第2款之侵入住宅毀越安全設備竊盜罪
規定加重：查被告前因犯竊盜、幫助詐欺取財罪,1,,規定加重：查被告前因犯竊盜、幫助詐欺取財罪
本件加重竊盜（2罪,1,,本件加重竊盜（2罪
罪型態、原因、侵害法益、罪,1,是,罪型態、原因、侵害法益、罪
非法持有具殺傷力之子彈罪,1,,非法持有非制式手槍罪及同條例第12條第4項之非法持有具殺傷力之子彈罪
踰越門窗侵入住宅竊盜罪,1,,踰越門窗侵入住宅竊盜罪
隱匿封緘信函罪,1,,隱匿封緘信函罪
後態度、多有竊盜等前案紀錄之素行（參卷附臺灣高等法院被告前案紀錄表）、犯罪,1,,後態度、多有竊盜等前案紀錄之素行（參卷附臺灣高等法院被告前案紀錄表）、犯罪
侵占離本人所持有物罪,1,,侵占離本人所持有物罪
侵占其他離本人所持有之物罪,1,,侵占其他離本人所持有之物罪
如附表一編號1至4所示之各罪,1,是,如附表一編號1至4所示之各罪
意圖營利供給賭博場所及同條後段之意圖營業聚眾賭博罪,1,,前段之意圖營利供給賭博場所及同條後段之意圖營業聚眾賭博罪
毀越安全設備竊盜罪,1,,毀越安全設備竊盜罪
「毀越牆垣」竊盜罪,1,,「毀越牆垣」竊盜罪
記載帳簿不實罪,1,,記載帳簿不實罪
未領有駕駛執照駕車因過失致人受傷罪,1,,未領有駕駛執照駕車因過失致人受傷罪
罪事實：1、第1頁第8行：（翁怡達所犯參與犯罪,1,是,罪事實：1、第1頁第8行：（翁怡達所犯參與犯罪
本件3人以上共同犯詐欺取財罪,1,,本件3人以上共同犯詐欺取財罪
行均基於同一犯罪,1,,行均基於同一犯罪
第3條所列之特定犯罪,1,,第3條所列之特定犯罪
罪所得）及整合（即收受、持有或使用他人之特定犯罪,1,是,罪所得）及整合（即收受、持有或使用他人之特定犯罪
附表編號1至15「罪,1,是,附表編號1至15「罪
所規定得聲請參與訴訟之罪,1,,所規定得聲請參與訴訟之罪
如附表編號一至五、七所示陸罪,1,是,如附表編號一至五、七所示陸罪
如附表編號四、六所示貳罪,1,是,如附表編號四、六所示貳罪
非法剝奪他人行動自由罪,1,,非法剝奪他人行動自由罪
行賄罪,1,,行賄罪
至第4項之罪,1,,至第4項之罪
如附表一、二所示各罪,1,是,如附表一、二所示各罪
附表所示各罪,1,是,附表所示各罪
以不正方法由收費設備取得他人之物罪,1,,以不正方法由收費設備取得他人之物罪
對醫療人員施強暴行為罪,1,,對醫療人員施強暴行為罪
強暴公然侮辱罪,1,,強暴公然侮辱罪
規定處罰等罪,1,,規定處罰等罪
竊錄非公開活動罪,1,,竊錄非公開活動罪
如附表一編號1至11所示各罪,1,是,如附表一編號1至11所示各罪
非法持有非制式手槍罪為最輕本刑5年以上有期徒刑之罪,1,,非法持有非制式手槍罪為最輕本刑5年以上有期徒刑之罪
而犯持有第二級毒品純質淨重二十公克以上罪,1,,而犯持有第二級毒品純質淨重二十公克以上罪
同條第2項之販賣非法輸入之醫療器材罪,1,,非法輸入醫療器材罪及同條第2項之販賣非法輸入之醫療器材罪
該二罪,1,,該二罪
所定過苛之虞、欠缺刑法上之重要性、犯罪,1,,罪所得無刑法第38條之2第2項所定過苛之虞、欠缺刑法上之重要性、犯罪
圖利以詐術使人出國罪,1,,買賣人口罪及同法第297條第1項之圖利以詐術使人出國罪
以藥劑犯強制性交罪,1,,以藥劑犯強制性交罪
以欺瞞之方法使人施用第三級毒品罪,1,,以欺瞞之方法使人施用第三級毒品罪
加重強制性交罪,1,,加重強制性交罪
罪所用之破壞剪、美工刀各壹支及犯罪,1,是,罪所用之破壞剪、美工刀各壹支及犯罪
在航空站竊盜罪,1,,在航空站竊盜罪
如附件附表所示各罪,1,是,如附件附表所示各罪
如附表一編號1、附表二編號1至21所示各罪,1,是,如附表一編號1、附表二編號1至21所示各罪
如附表一編號1至19「罪,1,是,如附表一編號1至19「罪
修正前詐欺取財罪,1,,修正前詐欺取財罪
無故窺視他人非公開之活動及身體隱私部位罪,1,,無故窺視他人非公開之活動及身體隱私部位罪
無故竊錄他人非公開之活動及身體隱私部位罪,1,,無故竊錄他人非公開之活動及身體隱私部位罪
、第1項之詐欺得利、詐欺取財罪,1,,刑法第339條第2項、第1項之詐欺得利、詐欺取財罪
如附表編號1至3所示3罪,1,是,如附表編號1至3所示3罪
有數罪,1,,有數罪
一○三年六月十八日修正前背信罪,1,,一○三年六月十八日修正前背信罪
意圖販賣而陳列、展示保育類野生動物產製品罪,1,,野生動物保育法第四十條第二款之意圖販賣而陳列、展示保育類野生動物產製品罪
妨害公務員執行職務罪,1,,妨害公務員執行職務罪
如附表一所示叁罪,1,是,如附表一所示叁罪
以文字公然煽惑他人犯罪之罪,1,,以文字公然煽惑他人犯罪之罪
如附表A所示各罪,1,是,如附表A所示各罪
如附表B所示各罪,1,是,如附表B所示各罪
罪前案紀錄及其他素行（參卷附臺灣高等法院被告前案紀錄表）、犯罪,1,是,罪前案紀錄及其他素行（參卷附臺灣高等法院被告前案紀錄表）、犯罪
罪前案紀錄等素行（參卷附臺灣高等法院被告前案紀錄表）、犯罪,1,是,罪前案紀錄等素行（參卷附臺灣高等法院被告前案紀錄表）、犯罪
規定之非法經營銀行業務罪,1,,前段規定之非法經營銀行業務罪
罪事實1、第1頁第7行：乙○○參與犯罪,1,是,罪事實1、第1頁第7行：乙○○參與犯罪
行使偽造私文書、行使偽造特種文書罪,1,,行使偽造私文書、行使偽造特種文書罪
如附表一至二十一所示三人以上共同詐欺取財罪,1,是,如附表一至二十一所示三人以上共同詐欺取財罪
如附表二至十一所示三人以上共同詐欺取財罪,1,是,如附表二至十一所示三人以上共同詐欺取財罪
如本判決末附表編號1至5所示各罪,1,是,如本判決末附表編號1至5所示各罪
竊錄他人非公開活動罪,1,,竊錄他人非公開活動罪
如附表編號1至15主文欄所示之拾伍罪,1,是,如附表編號1至15主文欄所示之拾伍罪
罪所得新臺幣壹萬元及供犯罪,1,是,罪所得新臺幣壹萬元及供犯罪
無故洩漏因利用電腦相關設備而持有他人之秘密罪,1,,無故洩漏因利用電腦相關設備而持有他人之秘密罪
以不正方法由收費設備取得財產上不法利益罪,1,,以不正方法由收費設備取得財產上不法利益罪
以不正方法由收費設備取得財產上不法利益罪,1,,以不正方法由收費設備取得財產上不法利益罪
攜帶兇器毀壞門扇侵入住宅竊盜罪,1,,攜帶兇器毀壞門扇侵入住宅竊盜罪
未領有駕駛執照駕車而過失傷害罪,1,,未領有駕駛執照駕車而過失傷害罪
無故利用工具或設備窺視他人非公開之活動及身體隱私部位罪,1,,無故利用工具或設備窺視他人非公開之活動及身體隱私部位罪
過失販賣禁藥罪,1,,過失販賣禁藥罪
第309條第1項公然侮辱罪,1,,傷害罪及第309條第1項公然侮辱罪
罪組織（李建家參與犯罪,1,是,罪組織（李建家參與犯罪
行有想像競合犯之裁判上一罪,1,,行有想像競合犯之裁判上一罪
行相互分工以遂行整體詐欺取財、行使偽造私文書、洗錢等犯罪,1,,行相互分工以遂行整體詐欺取財、行使偽造私文書、洗錢等犯罪
輕罪即洗錢罪,1,,輕罪即洗錢罪
在公共場所攜帶刀械罪,1,,在公共場所攜帶刀械罪
第268條後段之圖利聚眾賭博罪,1,,前段之圖利供給賭博場所罪及第268條後段之圖利聚眾賭博罪
以不正方使用自動設備取得他人之物罪,1,,以不正方使用自動設備取得他人之物罪
以不正方法由自動付款設備取得財產上不法利益罪,1,,以不正方法由自動付款設備取得財產上不法利益罪
洗錢罪㈡罪數關係：被告以一提供金融機構帳戶之行為同時觸犯幫助詐欺取財罪,1,,幫助犯洗錢罪㈡罪數關係：被告以一提供金融機構帳戶之行為同時觸犯幫助詐欺取財罪
攜帶兇器踰越牆垣、毀越安全設備竊盜罪,1,,攜帶兇器踰越牆垣、毀越安全設備竊盜罪
罪組織（盧以諾所犯參與犯罪,1,是,罪組織（盧以諾所犯參與犯罪
行與暱稱「Rich」、「180DAY」、「EAGLE」及詐欺集團其他成年成員間各自分擔犯罪,1,,行與暱稱「Rich」、「180DAY」、「EAGLE」及詐欺集團其他成年成員間各自分擔犯罪
應以包括之一罪,1,,應以包括之一罪
構成洗錢罪,1,,構成洗錢罪
侵占脫離本人持有物罪,1,,侵占脫離本人持有物罪
於夜間未經許可攜帶刀械罪,1,,於夜間未經許可攜帶刀械罪
、同法第339第1項之幫助詐欺取財罪,1,,刑法第30條第1項前段、同法第339第1項之幫助詐欺取財罪
罪事實及理由一、本件被告連嘉榮之犯罪,1,是,罪事實及理由一、本件被告連嘉榮之犯罪
行獲有任何犯罪,1,,行獲有任何犯罪
本案之罪,1,,本案之罪
行獲有何犯罪,1,,行獲有何犯罪
公司應收股款股東未實際繳納而以申請文件表明收足罪,1,,前段之公司應收股款股東未實際繳納而以申請文件表明收足罪
非公務機關未於蒐集之特定目的必要範圍内利用個人資料罪,1,,違反同法第20條第1項之非公務機關未於蒐集之特定目的必要範圍内利用個人資料罪
無故輸入他人帳號密碼入侵他人電腦相關設備罪,1,,無故輸入他人帳號密碼入侵他人電腦相關設備罪
本案與前案之犯罪,1,是,本案與前案之犯罪
未經許可持有手槍罪,1,,未經許可持有手槍罪
持有第三級毒品純質淨重逾5公克罪,1,,持有第三級毒品純質淨重逾5公克罪
非法持有制式手槍罪,1,,非法持有制式手槍罪
非法開發致生水土流失罪,1,,水土保持法第三十二條第四項之非法開發致生水土流失未遂罪
罪所得即現金新臺幣陸佰元、賴漢恩之不法犯罪,1,是,罪所得即現金新臺幣陸佰元、賴漢恩之不法犯罪
罪所得即現金新臺幣肆萬元、蔡顯勲犯罪,1,是,罪所得即現金新臺幣肆萬元、蔡顯勲犯罪
罪所得即現金新臺幣參仟元、賴漢恩犯罪,1,是,罪所得即現金新臺幣參仟元、賴漢恩犯罪
如附表四編號1至6主文欄所示之陸罪,1,是,如附表四編號1至6主文欄所示之陸罪
附表編號1至41「罪,1,是,附表編號1至41「罪
罪行為人因犯罪,1,是,罪行為人因犯罪
罪所得或犯罪,1,是,罪所得或犯罪
違背職務行為要求賄賂罪,1,,違背職務行為要求賄賂罪
行使公務員登載不實準文書罪,1,,行使公務員登載不實準文書罪
偽造印文、署名罪,1,,偽造印文、署名罪
罪事實：1、第1行：甲○○基於參與犯罪,1,是,罪事實：1、第1行：甲○○基於參與犯罪
之輕罪,1,,之輕罪
加重強制猥褻罪,1,,加重強制猥褻罪
非法販賣非制式手槍罪,1,,非法販賣非制式手槍罪
恐嚇危害他人安全罪,1,,恐嚇危害他人安全罪
放火燒燬現有人所在之建築物罪,1,,放火燒燬現有人所在之建築物未遂罪
如附表編號4至7、11、26至38、43至46、49、58至60、63至66、73至80、83、85、86「主文」欄所示之罪,1,是,如附表編號4至7、11、26至38、43至46、49、58至60、63至66、73至80、83、85、86「主文」欄所示之罪
：被告係出於恐嚇之單一決意於密接之犯罪,1,是,：被告係出於恐嚇之單一決意於密接之犯罪
施用安眠藥物致不能安全駕駛動力交通工具罪,1,,施用安眠藥物致不能安全駕駛動力交通工具罪
轉讓第三級毒品罪,1,,轉讓第三級毒品罪
未經許可持有子彈罪,1,,未經許可持有子彈罪
如附表一編號10、19、21至23、24⑵、25、26及附表二「主文」欄所示之罪,1,是,如附表一編號10、19、21至23、24⑵、25、26及附表二「主文」欄所示之罪
以不正方法由自動設備取得他人之物罪,1,,恐嚇取財罪及同法第339條之2第1項之以不正方法由自動設備取得他人之物罪
持有純質淨重5公克以上之第三級毒品罪,1,,持有純質淨重5公克以上之第三級毒品罪
罪動機、及其犯罪,1,是,罪動機、及其犯罪
公益侵占罪,1,,公益侵占罪
加重詐欺取財罪共23罪,1,,規定僅論以一罪即刑法第339條之4第1項第2款之加重詐欺取財罪共23罪
附表一編號1至3、附表二編號1至4、附表三編號1至11「本院罪,1,是,附表一編號1至3、附表二編號1至4、附表三編號1至11「本院罪
附表一編號1至3、附表二編號1至4、附表三編號1、2、5至11「本院罪,1,是,附表一編號1至3、附表二編號1至4、附表三編號1、2、5至11「本院罪
之結夥三人以上竊盜罪,1,,之結夥三人以上竊盜罪及同法第354條之毀損他人物品罪
、洗錢防制法第14條第1項之幫助洗錢罪,1,,刑法第30條、洗錢防制法第14條第1項之幫助洗錢罪
行與前開經起訴論罪,1,,行與前開經起訴論罪
如附表一編號1至20主文欄所示之貳拾罪,1,是,如附表一編號1至20主文欄所示之貳拾罪
貳拾罪,1,,貳拾罪
公務員洩漏國防以外之秘密消息罪,1,,公務員洩漏國防以外之秘密消息罪
攜帶兇器毀壞門竊盜罪,1,,攜帶兇器毀壞門竊盜罪
之之罪,1,,之之罪
以違反本人意願之方法使少年自行拍攝性影像罪,1,,以違反本人意願之方法使少年自行拍攝性影像罪
散布少年之性影像罪,1,,散布少年之性影像罪
竊錄他人非公開之活動、身體隱私部位罪,1,,竊錄他人非公開之活動、身體隱私部位罪
侵入建築物附連圍繞之土地罪,1,,侵入建築物附連圍繞之土地罪
重傷罪,1,,重傷未遂罪
所規定之特定犯罪,1,,所規定之特定犯罪
高買證券違法炒作罪,1,,高買證券違法炒作罪
規定之侵害著作權罪,1,,違反同法第87條第1項第8款規定之侵害著作權罪
侵害著作權罪,1,,著作權法第九十三條第四款之侵害著作權罪
如本判決末附表編號1至6所示各罪,1,是,如本判決末附表編號1至6所示各罪
如附表一編號1至6主文欄所示之陸罪,1,是,如附表一編號1至6主文欄所示之陸罪
如附表四編號1至3主文欄所示之參罪,1,是,如附表四編號1至3主文欄所示之參罪
非公務員洩漏國防以外之秘密消息罪,1,,非公務員洩漏國防以外之秘密消息罪
及同條第1項後段意圖供行使之用而攜帶兇器在公共場所聚集三人以上下手實施強暴罪,1,,及同條第1項後段意圖供行使之用而攜帶兇器在公共場所聚集三人以上下手實施強暴罪
非公務機關未於蒐集之特定目的必要範圍內利用個人資料之罪,1,,違反同法第20條第1項之非公務機關未於蒐集之特定目的必要範圍內利用個人資料之罪
行與前開多次施用毒品犯行均屬施用毒品犯罪,1,,行與前開多次施用毒品犯行均屬施用毒品犯罪
損壞火葬遺灰罪,1,,損壞火葬遺灰未遂罪
後態度、素行（卷附臺灣高等法院被告前案紀錄表）、犯罪,1,,後態度、素行（卷附臺灣高等法院被告前案紀錄表）、犯罪
意圖避免替代役之徵集無故逾應徵期限5日罪,1,,意圖避免替代役之徵集無故逾應徵期限5日罪
論以包括之一罪,1,,論以包括之一罪
行使偽造私文書及詐欺取財罪,1,,行使偽造私文書及詐欺取財罪
結夥三人以上強盜罪,1,,結夥三人以上強盜罪
行與渠等經論罪,1,,行與渠等經論罪
私行拘禁剝奪他人行動自由罪,1,,前段之私行拘禁剝奪他人行動自由罪
不違背職務收受賄賂罪,1,,不違背職務收受賄賂罪
如附表二所示之各罪,1,是,如附表二所示之各罪
如附表三所示之各罪,1,是,如附表三所示之各罪
如附表四所示之各罪,1,是,如附表四所示之各罪
如附表五所示之各罪,1,是,如附表五所示之各罪
罪所得新臺幣拾參萬伍仟元、黃銘鴻所有之犯罪,1,是,罪所得新臺幣拾參萬伍仟元、黃銘鴻所有之犯罪
5款之利用不正方法致生不實罪,1,,5款之利用不正方法致生不實罪及刑法第214條之使公務員登載不實罪
不能安全駕駛動力交通工具致人於死罪,1,,不能安全駕駛動力交通工具致人於死罪
填製不實會計憑證罪,1,,填製不實會計憑證罪
非法販賣非制式衝鋒槍罪,1,,非法販賣非制式衝鋒槍未遂罪
成年人故意對兒童犯性騷擾罪,1,,成年人故意對兒童犯性騷擾罪
非法輸入保育類野生動物產製品罪,1,,野生動物保育法第四十條第一款之非法輸入保育類野生動物產製品罪
持有逾量第三級毒品罪,1,,持有逾量第三級毒品罪
如附件所示之罪,1,,如附件所示之罪
汽車駕駛人無駕駛執照駕車過失致人於死罪,1,,汽車駕駛人無駕駛執照駕車過失致人於死罪
行、掩飾、隱匿詐欺犯罪,1,,行、掩飾、隱匿詐欺犯罪
洗錢及詐欺取財罪,1,,洗錢及詐欺取財罪
罪事實欄一之㈡所載犯罪,1,是,罪事實欄一之㈡所載犯罪
罪前案紀錄之素行（參簡字卷附臺灣高等法院被告前案紀錄表）、犯罪,1,是,罪前案紀錄之素行（參簡字卷附臺灣高等法院被告前案紀錄表）、犯罪
罪類型、法益侵害種類均相同之施用第二級毒品罪,1,是,罪類型、法益侵害種類均相同之施用第二級毒品罪
後坦承犯行之情狀、併參酌其多有毒品犯罪,1,,後坦承犯行之情狀、併參酌其多有毒品犯罪
無故輸入他人帳號密碼罪,1,,無故輸入他人帳號密碼罪
如附表一編號1、附表二編號1至6所示各罪,1,是,如附表一編號1、附表二編號1至6所示各罪
行確有獲得犯罪,1,,行確有獲得犯罪
本案前案之犯罪,1,是,本案前案之犯罪
駕駛動力交通工具而吐氣所含酒精濃度達每公升零點貳伍毫克以上罪,1,,駕駛動力交通工具而吐氣所含酒精濃度達每公升零點貳伍毫克以上罪
本案罪,1,,本案罪
項第1款之侵入住宅竊盜罪,1,,項第1款之侵入住宅竊盜罪
商業負責人以明知為不實之事項而填製會計憑證罪,1,,商業會計法第71條第1款之商業負責人以明知為不實之事項而填製會計憑證罪
前開犯行罪,1,,前開犯行罪
之素行、本件犯行之犯罪,1,是,之素行、本件犯行之犯罪
附表編號1至7所示各罪,1,是,附表編號1至7所示各罪
本件犯行確有犯罪,1,,本件犯行確有犯罪
侵占脫離本人所持有之物罪,1,,侵占脫離本人所持有之物罪
如本院附表一、二「罪,1,是,如本院附表一、二「罪
擅自以重製方法侵害他人著作財產權罪,1,,擅自以重製方法侵害他人著作財產權罪
如附件犯罪,1,,如附件犯罪
非法經營收受準存款業務罪,1,,銀行法第一百二十五條第一項前段之非法經營收受準存款業務罪
非法公開招募出售有價證券罪,1,,證券交易法第一百七十四條第二項第三款之非法公開招募出售有價證券罪
加害人屆期不履行身心治療及輔導教育罪,1,,加害人屆期不履行身心治療及輔導教育罪
修正前性侵害犯罪,1,,修正前性侵害犯罪
罪加害人屆期不履行身心治療及輔導教育罪,1,是,罪加害人屆期不履行身心治療及輔導教育罪
業務登載不實文書罪,1,,業務登載不實文書罪
販賣第二級毒品而混合二種以上之毒品罪,1,,販賣第二級毒品而混合二種以上之毒品未遂罪
如附表五編號1至8主文欄所示之捌罪,1,是,如附表五編號1至8主文欄所示之捌罪
不能安全駕駛致生公共危險罪,1,,不能安全駕駛致生公共危險罪
非法由自動付款設備詐欺取財罪,1,,非法由自動付款設備詐欺取財罪
