正規化後罪名(去未遂),次數,疑似雜訊,原始寫法範例(最多3個)
無故攝錄他人性影像罪,42,,無故攝錄他人性影像罪 | 無故攝錄他人性影像未遂罪 | 無故竊錄他人身體隱私部位罪及同法第319條之1第1項無故攝錄他人性影像罪
私運管制物品進口罪,42,,私運管制物品進口罪 | 運輸第二級毒品罪及懲治走私條例第2條第1項之私運管制物品進口罪 | 運輸第三級毒品罪及懲治走私條例第2條第1項之私運管制物品進口罪
持有第三級毒品純質淨重五公克以上罪,41,,持有第三級毒品純質淨重五公克以上罪 | 持有第二級毒品罪及同條例第11條第5項之持有第三級毒品純質淨重五公克以上罪
如附表所示罪,39,是,如附表所示罪
行使偽造準私文書罪,38,,行使偽造準私文書罪 | 幫助犯行使偽造準私文書罪
運輸第二級毒品罪,38,,運輸第二級毒品罪 | 運輸第二級毒品罪及懲治走私條例第2條第1項之私運管制物品進口罪 | 運輸第二級毒品未遂罪
：刑法上一行為而觸犯數罪,38,,：刑法上一行為而觸犯數罪
毀損罪,37,,毀損罪 | 攜帶兇器竊盜罪及同法第354條之毀損罪 | 竊盜罪及同法第354條之毀損罪
侵占離本人所持有之物罪,37,,侵占離本人所持有之物罪 | 刑法第337條之侵占離本人所持有之物罪
罪所得：按犯罪,37,是,罪所得：按犯罪
駕駛動力交通工具而有尿液所含毒品達行政院公告之品項及濃度值以上之情形罪,36,,駕駛動力交通工具而有尿液所含毒品達行政院公告之品項及濃度值以上之情形罪
罪所用之物：1、按犯詐欺犯罪,36,是,罪所用之物：1、按犯詐欺犯罪
組成之評價上數罪,35,,組成之評價上數罪
侵害數法益者皆成立犯罪,35,,侵害數法益者皆成立犯罪
剝奪他人行動自由罪,34,,剝奪他人行動自由罪 | 剝奪他人行動自由未遂罪 | 刑法第302條第1項之剝奪他人行動自由罪
強制猥褻罪,34,,強制猥褻罪 | 刑法第二百二十四條之強制猥褻罪
使公務員登載不實罪,34,,使公務員登載不實罪 | 利用不正當方法致使會計事項發生不實結果罪及刑法第214條之使公務員登載不實罪 | 利用不正方法致生不實罪及刑法第214條之使公務員登載不實罪
偽造有價證券罪,33,,偽造有價證券罪 | 偽造有價證券罪及第339條第1項之詐欺取財罪 | 偽造有價證券罪及第339條第2項之詐欺得利罪
侮辱公務員罪,33,,侮辱公務員罪 | 前段之侮辱公務員罪 | 侮辱公務員罪及刑法第309條第1項之公然侮辱罪
同條第2項之施用第二級毒品罪,32,,施用第一級毒品罪及同條第2項之施用第二級毒品罪
散布文字誹謗罪,32,,散布文字誹謗罪 | 公然侮辱罪及刑法第310條第2項之散布文字誹謗罪 | 散布文字誹謗罪及同法第309條第1項之公然侮辱罪
過失致人於死罪,31,,過失致人於死罪 | 刑法第276條之過失致人於死罪 | 罪及刑法第276條之過失致人於死罪
填製不實會計憑證罪,31,,商業會計法第七十一條第一款之填製不實會計憑證罪 | 填製不實會計憑證罪 | 商業會計法第七十一條第一款填製不實會計憑證罪
持有第三級毒品純質淨重5公克以上罪,30,,持有第三級毒品純質淨重5公克以上罪 | 持有第二級毒品罪及同法第11條第5項之持有第三級毒品純質淨重5公克以上罪 | 毒品危害防制條例第11條第5項之持有第三級毒品純質淨重5公克以上罪
三人以上共同冒用公務員名義詐欺取財罪,30,,三人以上共同冒用公務員名義詐欺取財罪 | 三人以上共同冒用公務員名義詐欺取財未遂罪 | 三人以上共同冒用公務員名義詐欺取財罪及洗錢防制法第19條第1項後段之一般洗錢罪
過失致死罪,30,,過失致死罪 | 過失致死罪及同法第284條前段之過失傷害罪 | 過失致死罪及職業安全衛生法第40條第1項之罪
犯洗錢罪,29,,後段之幫助犯洗錢罪
賭博罪,28,,賭博罪 | 後段之賭博罪 | 規定而犯同條例第22條之非法營業罪及刑法第266條第1項之賭博罪
侵入住宅罪,28,,侵入住宅罪 | 傷害罪及同法第306條第1項之侵入住宅罪 | 刑法第306條第1項之侵入住宅罪
圖利容留猥褻罪,27,,圖利容留猥褻罪 | 前段之圖利容留猥褻罪
背信罪,26,,背信罪 | 證券交易法第一百七十一條第一項第三款之背信罪 | 背信未遂罪
同條後段之圖利聚眾賭博罪,26,,前段之圖利供給賭博場所罪及同條後段之圖利聚眾賭博罪 | 前段之圖利供給賭場罪及同條後段之圖利聚眾賭博罪
未繳納股款罪,26,,前段之未繳納股款罪 | 公司法第九條第一項前段之未繳納股款罪 | 未繳納股款罪
偽造署押罪,26,,偽造署押罪 | 刑法第217條第1項之偽造署押罪
以網際網路賭博財物罪,25,,以網際網路賭博財物罪
轉讓禁藥罪,24,,轉讓禁藥罪 | 藥事法第八十三條第一項之轉讓禁藥罪 | 轉讓禁藥未遂罪
